Company,Launch Date,Launch Time,Launch Site,Temperature (° F),Wind speed (MPH),Humidity (%),Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason
Boeing,18 May 2001,17:45,Cape Canaveral,80,9,67,Delta II 7925,3511,1819,38.1,2.9,GeoLITE,Earth Observation Satellite,1800,Geostationary Transfer Orbit,Success,
Boeing,30 June 2001,19:46,Cape Canaveral,81,9,82,Delta II 7425-10C,3020,1073,38.9,3,WMAP,Microwave Anisotropy Probe,835,Earth-Moon L2,Success,
Boeing,8 August 2001,16:13,Cape Canaveral,87,9,65,Delta II 7326,2533,934,38.1,2.9,Genesis,Solar wind particles sample-return probe,636,Heliocentric Orbit,Success,
Boeing,18 October 2001,18:51,Vandenberg ,56,0,97,Delta II 7320-10C,2533,2703,38.9,3,QuickBird,Earth Observation Satellite,1100,Sun-Synchronous Orbit,Success,
Boeing,7 December 2001,15:07,Vandenberg ,71,9,42,Delta II 7920-10C,3511,4800,38.9,3,Jason-1 / TIMED,Earth Observation Satellite,660,Low Earth Orbit,Success,
Boeing,11 February 2002,17:43,Vandenberg ,51,0,66,Delta II 7920-10C,3511,4800,38.9,3,Iridium IS-1,Communication Satellite,689,Low Earth Orbit,Success,
Boeing,4 May 2002,9:54,Vandenberg ,59,8,67,Delta II 7920-10C,3511,4800,38.9,3,Aqua,Research Satellite,3117,Low Earth Orbit,Success,
Boeing,3 July 2002,6:47,Cape Canaveral,76,3,87,Delta II 7425,3020,1110,38.1,2.9,CONTOUR,Space Probe,328,Heliocentric Orbit,Success,
Boeing,20 November 2002,22:39,Cape Canaveral,72,5,73,"Delta IV Medium+ (4,2)",4895,6390,62.5,4,Eutelsat W5,Communication Satellite,3170,Geostationary Transfer Orbit,Success,
Boeing,13 January 2003,0:45,Vandenberg ,50,0,100,Delta II 7320-10C,2533,2703,38.9,3,ICESat,Research Satellite,970,Sun-Synchronous Orbit,Success,
